ID	ploidy	gainSeg	totalGain	lossSeg	totalLoss	file	date
BLM	1	2	156669779	0	0	blm-1-single-c10-w33_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r4-c5_S467_.trimmed.mdup.bam	2021-01-18
BLM	1	0	0	0	0	blm-1-single-f7-r5-c7_S133_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam	2021-01-18
BLM	1	0	0	0	0	blm-1-single-f6-r2-c1_S57_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r7-c5_S586_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r1-c2_S443_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r1-c5_S495_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f13-r3-c1_S407_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	1	64548277	blm-recq5-1-single-f14-r2-c4_S452_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f13-r1-c1_S393_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r6-c3_S479_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r5-c3_S472_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r4-c5_S516_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c15-w27_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c15-w24_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r5-c5_S523_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f16-r4-c4_S564_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-c11-w18-3d6_S412_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	1	1	72588531	0	0	blm-recq5-1-single-f13-r7-c1_S435_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r5-c4_S522_.trimmed.mdup.bam	2021-01-18
BLM	1	1	77481733	0	0	blm-1-single-f5-r3-c1_S15_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	58195161	0	0	blm-recq5-2-single-f16-r2-c1_S547_.trimmed.mdup.bam	2021-01-18
BLM	1	0	0	0	0	blm-1-single-f7-r7-c1_S141_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	56627094	0	0	blm-recq5-1-single-f14-r3-c7_S462_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	35146963	0	0	blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r6-c4_S480_.trimmed.mdup.bam	2021-01-18
